faction,gameSystem,spellId,name,type,threshold,effect,effectSkirmish,spellbookId
Dark Brothers,grimdark-future-firefight,0IRkW,Psychic Terror,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Dark Brothers,grimdark-future-firefight,iBpcF,Cursed Ground,2,2,"Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Dark Brothers,grimdark-future-firefight,IiOah,Cerebral Trauma,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Dark Brothers,grimdark-future-firefight,L_-cl,Time Passage,1,3,"Target 4 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Dark Brothers,grimdark-future-firefight,98xBf,Lightning Fog,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Dark Elf Raiders,grimdark-future-firefight,cP2qf,Anxiety,2,1,"Target 4 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Dark Elf Raiders,grimdark-future-firefight,z431N,Psych Grave,0,1,"Target 2 enemy units within 12"" take 1 hit each.","Target 2 enemy units within 12"" take 1 hit each.",6LaIv
Dark Elf Raiders,grimdark-future-firefight,3ORBa,Drugs,1,2,"Target 4 friendly units within 12"" get Regeneration next time they take wounds.","Target 4 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Dark Elf Raiders,grimdark-future-firefight,fgyPU,Pain,0,2,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
Dark Elf Raiders,grimdark-future-firefight,j6oLQ,Adrenaline,1,3,"Target 4 friendly units within 12"" get +2 to hit next time they fight in melee.","Target 4 friendly units within 12"" get +2 to hit next time they fight in melee.",0PTkA
Dark Elf Raiders,grimdark-future-firefight,tcH3w,Snake Bite,0,3,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 2 hits with AP(4).",QO6Oj
Dark Prime Brothers,grimdark-future-firefight,_TqtK,Blurred Sight,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Dark Prime Brothers,grimdark-future-firefight,q7FYs,Psychic Terror,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Dark Prime Brothers,grimdark-future-firefight,E2Hc6,Cursed Ground,2,2,"Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Dark Prime Brothers,grimdark-future-firefight,spwoE,Cerebral Trauma,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Dark Prime Brothers,grimdark-future-firefight,At3dW,Time Passage,1,3,"Target 4 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Dark Prime Brothers,grimdark-future-firefight,lpVma,Lightning Fog,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Dwarf Guilds,grimdark-future-firefight,xQ-Dv,Spite Rune ,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Dwarf Guilds,grimdark-future-firefight,plGib,Smiting Rune ,0,1,Target enemy unit within 12” takes 2 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Dwarf Guilds,grimdark-future-firefight,6RfYW,Battle Rune ,1,2,"Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Dwarf Guilds,grimdark-future-firefight,taC_s,Breaking Rune ,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Dwarf Guilds,grimdark-future-firefight,3Rm66,Drill Rune ,1,3,"Target 6 friendly units within 12"" get Flying next time they move.","Target 6 friendly units within 12"" get Flying next time they move.",hULCg
Dwarf Guilds,grimdark-future-firefight,vAujA,Cleaving Rune ,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Elven Jesters,grimdark-future-firefight,_E7yk,Psychic Fog,2,1,"Target 4 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Elven Jesters,grimdark-future-firefight,N7LHJ,Discord,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Elven Jesters,grimdark-future-firefight,cHPRj,Shadow Dance,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Elven Jesters,grimdark-future-firefight,X1iYd,Sorrow,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Elven Jesters,grimdark-future-firefight,QDWBm,Veil of Madness,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Elven Jesters,grimdark-future-firefight,VJ0vg,Light Shards,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Eternal Dynasty,grimdark-future-firefight,W-9aP,Weaken Soul,2,1,"Target 4 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Eternal Dynasty,grimdark-future-firefight,trKS8,Dragon Breath,0,1,Target enemy unit within 12” takes 2 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Eternal Dynasty,grimdark-future-firefight,cxXYp,Eternal Guidance,1,2,"Target 4 friendly units within 12"" get +1 to hit rolls next time they shoot.","Target 4 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Eternal Dynasty,grimdark-future-firefight,_hB0l,Mind Challenge,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Eternal Dynasty,grimdark-future-firefight,G-gJZ,Spirit Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Eternal Dynasty,grimdark-future-firefight,pgW4u,Spirit Vortex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Goblin Reclaimers,grimdark-future-firefight,dm709,Short Circuit,2,1,"Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Goblin Reclaimers,grimdark-future-firefight,pMFQu,Zap!,0,1,"Target enemy model within 6"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Goblin Reclaimers,grimdark-future-firefight,bBHHA,Assemble,1,2,"Target 4 friendly units within 12"" get Rending next time they shoot.","Target 4 friendly units within 12"" get Rending next time they shoot.",qaJSj
Goblin Reclaimers,grimdark-future-firefight,u5dTO,Pow!,0,2,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 2 hits with AP(2).",cJZ_-
Goblin Reclaimers,grimdark-future-firefight,mfx9y,Shroud Field,1,3,"Target 8 friendly units within 12"" get Stealth next time they are shot at.","Target 8 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Goblin Reclaimers,grimdark-future-firefight,x4Szf,Boom!,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Havoc Brothers,grimdark-future-firefight,WqVYV,Dark Sight,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Havoc Brothers,grimdark-future-firefight,ETqFz,Havoc Terror,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Havoc Brothers,grimdark-future-firefight,koM0N,Cursed Sludge,2,2,"Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Havoc Brothers,grimdark-future-firefight,EMMnm,Havoc Trauma,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Havoc Brothers,grimdark-future-firefight,UD96W,Warp Passage,1,3,"Target 4 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Havoc Brothers,grimdark-future-firefight,2cJLM,Daemon Fog,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
High Elf Fleets,grimdark-future-firefight,BWlZI,Hide,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
High Elf Fleets,grimdark-future-firefight,Hql50,Soul Seeker,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
High Elf Fleets,grimdark-future-firefight,f-bwL,Creator,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
High Elf Fleets,grimdark-future-firefight,CvffV,Destroyer,0,2,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
High Elf Fleets,grimdark-future-firefight,UVq_l,Blessing,1,3,"Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
High Elf Fleets,grimdark-future-firefight,mtWSY,Curse,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Human Defense Force,grimdark-future-firefight,ya8QP,Foresight,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Human Defense Force,grimdark-future-firefight,CsJOp,Flame Breath,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Human Defense Force,grimdark-future-firefight,sC4Gz,Protective Dome,1,2,"Target 6 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Human Defense Force,grimdark-future-firefight,2u5gr,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Human Defense Force,grimdark-future-firefight,TzMwj,Psychic Speed,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Human Defense Force,grimdark-future-firefight,i1uZl,Tempest,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Human Inquisition,grimdark-future-firefight,T9CvX,Foresight,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Human Inquisition,grimdark-future-firefight,cQil0,Flame Breath,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Human Inquisition,grimdark-future-firefight,FNNTr,Protective Dome,1,2,"Target 6 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Human Inquisition,grimdark-future-firefight,fboTC,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Human Inquisition,grimdark-future-firefight,4Wlcg,Psychic Speed,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Human Inquisition,grimdark-future-firefight,fjYgb,Tempest,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Infected Colonies,grimdark-future-firefight,XIFoj,Infestation,1,1,"Target 4 friendly units within 12"" get Poison next time they fight in melee.","Target 4 friendly units within 12"" get Poison next time they fight in melee.",9aOrY
Infected Colonies,grimdark-future-firefight,7VYGG,Bio-Horror,0,1,"Target enemy unit within 12"" takes 1 hit with Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Infected Colonies,grimdark-future-firefight,9kPTj,Onslaught,1,2,"Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Infected Colonies,grimdark-future-firefight,POEyK,Panic Virus,0,2,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
Infected Colonies,grimdark-future-firefight,Vg3yZ,Vigour,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Infected Colonies,grimdark-future-firefight,9xEir,Plague,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Jackals,grimdark-future-firefight,icwzh,Lean and Mean,1,1,"Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
Jackals,grimdark-future-firefight,-BUjo,Feral Strike,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Jackals,grimdark-future-firefight,JA8IE,Psy-Canines,1,2,"Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.","Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.",gd3uG
Jackals,grimdark-future-firefight,u7epQ,Quill Blast,0,2,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
Jackals,grimdark-future-firefight,qmDvb,Shaper,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Jackals,grimdark-future-firefight,lJ385,Power Maw,0,3,"Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).",tNVWP
Knight Brothers,grimdark-future-firefight,Tqoh8,Ward ,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Knight Brothers,grimdark-future-firefight,AWMNt,Cleanse ,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Knight Brothers,grimdark-future-firefight,QM7hX,Warp ,2,2,"Target 4 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 4 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Knight Brothers,grimdark-future-firefight,6WkF_,Doom ,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Knight Brothers,grimdark-future-firefight,_jKxS,Strike ,1,3,"Target 4 friendly units within 12"" get +18"" range next time they shoot.","Target 4 friendly units within 12"" get +18"" range next time they shoot.",OetpX
Knight Brothers,grimdark-future-firefight,aZgFv,Purge ,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Knight Prime Brothers,grimdark-future-firefight,3HP9S,Ward,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Knight Prime Brothers,grimdark-future-firefight,wrrFi,Cleanse,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Knight Prime Brothers,grimdark-future-firefight,5LsIe,Warp,2,2,"Target 4 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 4 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Knight Prime Brothers,grimdark-future-firefight,1J2D4,Doom,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Knight Prime Brothers,grimdark-future-firefight,7AcRX,Strike,1,3,"Target 4 friendly units within 12"" get +18"" range next time they shoot.","Target 4 friendly units within 12"" get +18"" range next time they shoot.",OetpX
Knight Prime Brothers,grimdark-future-firefight,w7L3s,Purge,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Lust Disciples,grimdark-future-firefight,rMOo3,Acquiescence,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Lust Disciples,grimdark-future-firefight,NVGgc,Seizure,0,1,"Target enemy unit within 12"" takes 1 hit with Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Lust Disciples,grimdark-future-firefight,gFLg7,Pleasure ,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Lust Disciples,grimdark-future-firefight,m9pvN,Pain,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Lust Disciples,grimdark-future-firefight,3Dtkx,Ecstasy,1,3,"Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
Lust Disciples,grimdark-future-firefight,LvpgV,Overpower,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Machine Cult,grimdark-future-firefight,6SpJk,Critical Aim,1,1,"Target 2 friendly units within 12"" get AP(+1) next time they shoot.","Target 2 friendly units within 12"" get AP(+1) next time they shoot.",9dkLH
Machine Cult,grimdark-future-firefight,N6ZE8,Solar Beam,0,1,"Target enemy model within 6"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Machine Cult,grimdark-future-firefight,7ToxY,Steel Body,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Machine Cult,grimdark-future-firefight,QcEzl,Shrapnel,0,2,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Machine Cult,grimdark-future-firefight,97u2H,Corroded Metal,2,3,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Machine Cult,grimdark-future-firefight,CGyt7,Machine Terror,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Mega-Corps,grimdark-future-firefight,RM692,Foresight,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Mega-Corps,grimdark-future-firefight,_dWTK,Flame Breath,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Mega-Corps,grimdark-future-firefight,mNU5w,Protective Dome,1,2,"Target 6 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Mega-Corps,grimdark-future-firefight,91lMM,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Mega-Corps,grimdark-future-firefight,djSzF,Psychic Speed,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Mega-Corps,grimdark-future-firefight,TmuOs,Tempest,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Mercenaries,grimdark-future-firefight,RM692,Foresight,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Mercenaries,grimdark-future-firefight,_dWTK,Flame Breath,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Mercenaries,grimdark-future-firefight,mNU5w,Protective Dome,1,2,"Target 6 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Mercenaries,grimdark-future-firefight,91lMM,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Mercenaries,grimdark-future-firefight,djSzF,Psychic Speed,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Mercenaries,grimdark-future-firefight,TmuOs,Tempest,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Orc Marauders,grimdark-future-firefight,dm709,Warpath,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Orc Marauders,grimdark-future-firefight,pMFQu,Crackling Bolt,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Orc Marauders,grimdark-future-firefight,bBHHA,Headbang,1,2,"Target 4 friendly units within 12"" get Rending next time they fight in melee.","Target 4 friendly units within 12"" get Rending next time they fight in melee.",Irkg9
Orc Marauders,grimdark-future-firefight,u5dTO,Death Bolt,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Orc Marauders,grimdark-future-firefight,mfx9y,Teleport,1,3,"Target 6 friendly units within 12"" get Flying next time they move.","Target 6 friendly units within 12"" get Flying next time they move.",hULCg
Orc Marauders,grimdark-future-firefight,x4Szf,Psychic Vomit,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Plague Disciples,grimdark-future-firefight,25-mk,Blessed Virus ,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Plague Disciples,grimdark-future-firefight,HJaGE,Muscular Atrophy ,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Plague Disciples,grimdark-future-firefight,vpWt_,Putrefaction,1,2,"Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.","Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.",gd3uG
Plague Disciples,grimdark-future-firefight,ObkSC,Plague Curse,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Plague Disciples,grimdark-future-firefight,tczkF,Pestilence,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Plague Disciples,grimdark-future-firefight,do3xe,Rot Wave ,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Prime Brothers,grimdark-future-firefight,_TqtK,Blurred Sight,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Prime Brothers,grimdark-future-firefight,q7FYs,Psychic Terror,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Prime Brothers,grimdark-future-firefight,E2Hc6,Cursed Ground,2,2,"Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Prime Brothers,grimdark-future-firefight,spwoE,Cerebral Trauma,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Prime Brothers,grimdark-future-firefight,At3dW,Time Passage,1,3,"Target 4 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Prime Brothers,grimdark-future-firefight,lpVma,Lightning Fog,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Psycho Cults,grimdark-future-firefight,RM692,Foresight,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Psycho Cults,grimdark-future-firefight,_dWTK,Flame Breath,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Psycho Cults,grimdark-future-firefight,mNU5w,Protective Dome,1,2,"Target 6 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Psycho Cults,grimdark-future-firefight,91lMM,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Psycho Cults,grimdark-future-firefight,djSzF,Psychic Speed,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Psycho Cults,grimdark-future-firefight,TmuOs,Tempest,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
